Titulo,Autor,Duracion
Third Party,Nathan Hystad,Length: 13 hrs and 53 mins
Rejection,K. Loraine,Length: 10 hrs and 3 mins
Clive Cussler's The Sea Wolves,Jack Du Brul,Length: 10 hrs
The Stern Chase,John Flanagan,Length: 10 hrs and 30 mins
Untitled Jack Ryan #22,Marc Cameron,Length: 13 hrs
A Killing of Innocents,Deborah Crombie,Length: 12 hrs
The Synchronicity Key,David Wilcock,Length: 21 hrs and 27 mins
Drunk on Love,Jasmine Guillory,Length: 10 hrs and 30 mins
After the Bite,Lynsay Sands,Length: 10 hrs and 30 mins
Force,Cassandra Robbins,Length: 8 hrs and 20 mins
Dark One: Forgotten,Brandon Sanderson,Length: 5 hrs
Speaking Bones,Ken Liu,Length: 40 hrs
Next in Line,Jeffrey Archer,Length: 10 hrs and 14 mins
The Flame and the Flower,Kathleen E. Woodiwiss,Length: 17 hrs
Mad Honey,Jodi Picoult,Length: 13 hrs
Listen to Me,Tess Gerritsen,Length: 7 hrs and 49 mins
Good Inside,Becky Kennedy,Length: 12 hrs
Round Up the Usual Peacocks,Donna Andrews,Length: 9 hrs and 45 mins
The Wolf and the Dove,Kathleen E. Woodiwiss,Length: 20 hrs
The Hidden One,Linda Castillo,Length: 9 hrs and 18 mins
The Galveston Diet,Mary Claire Haver,Length: 9 hrs
The Secret Diaries of Charles Ignatius Sancho,Paterson Joseph,Length: 9 hrs and 45 mins
A Restless Truth,Freya Marske,Length: 12 hrs
Heart of the Sun Warrior,Sue Lynn Tan,Length: 15 hrs and 30 mins
Midnight Dunes,Laura Griffin,Length: 9 hrs and 14 mins
Salmon Wars,Catherine Collins,Length: 9 hrs and 15 mins
7 Rules of Power,Jeffrey Pfeffer,Length: 6 hrs and 13 mins
Night Shift,Robin Cook,Length: 12 hrs
Places We've Never Been,Kasie West,Length: 8 hrs
Master of Furies,Raymond E. Feist,Length: 15 hrs
All the Dangerous Things,Stacy Willingham,Length: 10 hrs
Spy School Project X,Stuart Gibbs,Length: 7 hrs and 30 mins
The Sweet Remnants of Summer,Alexander McCall Smith,Length: 8 hrs
Santa's Little Yelpers,David Rosenfelt,Length: 10 hrs and 30 mins
Reckoning,Catherine Coulter,Length: 12 hrs
Lead Like It Matters,Craig Groeschel,Length: 7 hrs and 29 mins
The Rise and Reign of the Mammals,Steve Brusatte,Length: 15 hrs
The Wedding Plot,Paula Munier,Length: 11 hrs
"The Flag, the Cross, and the Station Wagon",Bill McKibben,Length: 6 hrs and 39 mins
Hell Followed with Us,Andrew Joseph White,Length: 10 hrs and 47 mins
Her Majesty's Royal Coven,Juno Dawson,Length: 13 hrs and 56 mins
Stop Waiting for Permission,Stephen Chandler,Length: 8 hrs
The Graveside Bar and Grill,Darynda Jones,Length: 5 hrs
The Fall of Sin,Bella J,Length: 6 hrs and 27 mins
Death's Favorite Warlock 3,Charles Dean,Length: 12 hrs and 2 mins
Bombshell,Mike Rothmiller,Length: 11 hrs and 18 mins
Cashing Out,Julien Saunders,Length: 6 hrs and 2 mins
The Viral Underclass,Steven W. Thrasher,Length: 11 hrs and 30 mins
The Light Fantastic,Terry Pratchett,Length: Not Yet Known
Swimming with the Blowfish,Jim Sonefeld,Length: 10 hrs and 15 mins
The Divorce Colony,April White,Length: 8 hrs
"God, Family, Country",Craig Morgan,Length: 9 hrs and 30 mins
The Twist of a Knife,Anthony Horowitz,Length: 12 hrs
The Orphanage,Serhiy Zhadan,Length: 11 hrs
Curious Wine,Katherine V. Forrest,Length: 6 hrs and 26 mins
Dark of Night,Barbara Nickless,Length: 10 hrs
Corrections in Ink,Keri Blakinger,Length: 8 hrs and 22 mins
The Quantum Chain,Nick Jones,Length: 13 hrs
Delighted,Lexi Blake,Length: 7 hrs and 30 mins
The Messy Lives of Book People,Phaedra Patrick,Length: 9 hrs and 51 mins
Tom Clancy's Op-Center: Call of Duty,Jeff Rovin,Length: 9 hrs and 36 mins
Cursed,Marissa Meyer,Length: 10 hrs
Hotel California,Don Bruns,Length: 6 hrs and 30 mins
The White Wolf,Michael Moorcock,Length: 33 hrs and 30 mins
Crazy Faith: Audio Bible Studies,Michael Todd,Length: 1 hr and 28 mins
Guards! Guards!,Terry Pratchett,Length: Not Yet Known
My Darkest Prayer,S. A. Cosby,Length: 9 hrs and 45 mins
The Cricket in Times Square,George Selden,Length: 2 hrs and 38 mins
Make a Wish,Helena Hunting,Length: 10 hrs and 30 mins
"The Asperkid's (Secret) Book of Social Rules, 10th Anniversary Edition",Jennifer Cook,Length: 10 hrs
Smells Like Tween Spirit,Laurie Gelman,Length: 8 hrs and 15 mins
Radical Radiance,Angela Jia Kim,Length: 9 hrs and 15 mins
A Hard Kick in the Nuts,Stephen Steve-O Glover,Length: 8 hrs
Sands of Dune,Brian Herbert,Length: 11 hrs
Albury,Alex Kozlowski,Length: 17 hrs and 35 mins
Boys Come First,Aaron Foley,Length: Not Yet Known
The Counselors,Jessica Goodman,Length: 9 hrs and 13 mins
Babel,R. F. Kuang,Length: 20 hrs
Lapvona,Ottessa Moshfegh,Length: 8 hrs and 44 mins
Into the Narrowdark,Tad Williams,Length: 33 hrs
Regenesis,George Monbiot,Length: 9 hrs
The Darling Dahlias and the Red Hot Poker,Susan Wittig Albert,Length: 8 hrs and 36 mins
Rashe,Ava Ross,Length: 5 hrs and 58 mins
The Big Bang Theory,Jessica Radloff,Length: 19 hrs
The Keeper,Stacey Reynolds,Length: 14 hrs and 53 mins
Suspects,Danielle Steel,Length: 6 hrs and 44 mins
Rise of the School for Good and Evil,Soman Chainani,Length: 8 hrs and 6 mins
Do Hard Things,Steve Magness,Length: 8 hrs and 30 mins
Murder at Haven's Rock,Kelley Armstrong,Length: 13 hrs and 10 mins
The Big Dark Sky,Dean Koontz,Length: 12 hrs
"Bless Your Heart, Rae Sutton",Susannah B. Lewis,Length: 7 hrs and 17 mins
Kiss Her Goodnight,D.K. Hood,Length: 9 hrs and 1 min
Pacific Shogun,Jamie Ibson,Length: 10 hrs and 12 mins
Marius' Mules XIII: Civil War,S.J.A. Turney,Length: 14 hrs and 31 mins
Law of Freedom,David Burke,Length: 14 hrs and 40 mins
Godslayers,Zoe Hana Mikuta,Length: 9 hrs and 15 mins
Exiles,Jane Harper,Length: 10 hrs and 30 mins
Nina Simone's Gum,Warren Ellis,Length: 3 hrs
Fates Parallel: Vol. 2,DarkTechnomancer,Length: 16 hrs and 37 mins
Sourcery,Terry Pratchett,Length: Not Yet Known
They Walked with God,Max Lucado,Length: 8 hrs and 48 mins
Monsters,Matt Rogers,Length: 8 hrs and 12 mins
Etched in Honor,Carrie Ann Ryan,Length: 6 hrs and 53 mins
Mine to Have,Natasha Madison,Length: 7 hrs and 56 mins
Big Swiss,Jen Beagin,Length: 10 hrs and 30 mins
Saved by a Billionaire,Miss J.,Length: 8 hrs and 54 mins
Vampires Will Be Vampires,Isla Frost,Length: 7 hrs and 18 mins
The Sojourn,Brandon Q. Morris,Length: 8 hrs and 21 mins
Have I Told You This Already?,Lauren Graham,Length: 6 hrs
From Beyond,Jasper T. Scott,Length: Not Yet Known
"America, Goddam",Treva B. Lindsey,Length: 11 hrs and 30 mins
Cold Fear,Brandon Webb,Length: 12 hrs and 6 mins
My Husband's Secret,Kiersten Modglin,Length: 6 hrs
The Pallbearers Club,Paul Tremblay,Length: 12 hrs
The Daughter of Doctor Moreau,Silvia Moreno-Garcia,Length: 10 hrs
Never Coming Home,Hannah Mary McKinnon,Length: 8 hrs and 26 mins
Daughters of a Coral Dawn,Katherine V. Forrest,Length: 7 hrs and 30 mins
The Seamstress of New Orleans,Diane C. McPhail,Length: 11 hrs and 9 mins
Secret Beast,Amelia Wilde,Length: 6 hrs and 32 mins
The Hunt,Faye Kellerman,Length: 14 hrs and 45 mins
From the Shadows,James R. Benn,Length: 11 hrs
Majority Minority,Justin Gest,Length: 15 hrs and 3 mins
Freezer Burn,Rachel Aukes,Length: 13 hrs and 15 mins
The Book of Boundaries,Random House Group,Length: 11 hrs
All of Our Demise,Amanda Foody,Length: 13 hrs
A King So Cold,Ella Fields,Length: 14 hrs and 29 mins
Chip War,Chris Miller,Length: 13 hrs
The Dover Café Under Fire,Ginny Bell,Length: Not Yet Known
James and the Giant Peach,Roald Dahl,Length: 3 hrs
Cherubim's Call,James Rosone,Length: 10 hrs and 33 mins
Radical Love,Zachary Levi,Length: 7 hrs and 24 mins
The Self-Healing Mind,Gregory Scott Brown,Length: 7 hrs and 34 mins
Forever,J.R. Ward,Length: 10 hrs
The Oleander Sword,Tasha Suri,Length: 20 hrs
Blackmail and Bibingka,Mia P. Manansala,Length: 9 hrs and 30 mins
Control Freak,Cliff Bleszinski,Length: 10 hrs
They Knew,Sarah Kendzior,Length: 10 hrs and 30 mins
Platonic,Marisa G. Franco,Length: 9 hrs
Hatchet Island,Paul Doiron,Length: 10 hrs and 30 mins
Inventions of the Heart,Mary Connealy,Length: 8 hrs and 24 mins
Lost in the Moment and Found,Seanan McGuire,Length: 4 hrs and 15 mins
Out of Egypt,André Aciman,Length: 9 hrs and 56 mins
The Hidden Saint,Mark Levenson,Length: 11 hrs and 38 mins
Poster Girl,Veronica Roth,Length: Not Yet Known
Just Dance,Sarah Mlynowski,Length: 3 hrs and 31 mins
Desperate Undertaking,Lindsey Davis,Length: 11 hrs
Primal Sorcerer,Kyle Johnson,Length: 34 hrs and 26 mins
Miss Aldridge Regrets,Louise Hare,Length: 12 hrs
Island Time,Georgia Clark,Length: 13 hrs
The Family Name,Christopher G. Nuttall,Length: 13 hrs and 50 mins
The Barrens,Kurt Johnson,Length: 9 hrs and 30 mins
Killer in the Kremlin,John Sweeney,Length: Not Yet Known
Dune: The Heir of Caladan,Brian Herbert,Length: 13 hrs and 30 mins
The Vampire Knitting Club Boxed Set,Nancy Warren,Length: 17 hrs and 2 mins
Ruination,Anthony Reynolds,Length: 12 hrs and 30 mins
To Be Made Well,Amy Julia Becker,Length: 5 hrs and 47 mins
Nomad,S.G. Seabourne,Length: 17 hrs and 39 mins
The Deadly Shallows,Dani Pettrey,Length: 11 hrs and 2 mins
The Final Hunt,Audrey J. Cole,Length: 7 hrs and 13 mins
Dead Water,C. A. Fletcher,Length: 11 hrs and 30 mins
A Cruel and Fated Light,Ashley Shuttleworth,Length: 23 hrs and 7 mins
The Pope at War,David I. Kertzer,Length: 17 hrs and 33 mins
Hell and Back,Craig Johnson,Length: 11 hrs and 15 mins
Saint,Adrienne Young,Length: 9 hrs and 36 mins
The Ones We Keep,Bobbie Jean Huff,Length: 11 hrs and 30 mins
Spark of Fate,Tessa Hale,Length: 6 hrs and 30 mins
Your Purpose Is Calling,Dharius Daniels,Length: 5 hrs and 53 mins
Beyond the Moonlit Sea,Julianne MacLean,Length: 9 hrs and 50 mins
Zero to Birth,W.A. Harris,Length: 7 hrs and 30 mins
Scorch,Helen Hardt,Length: 9 hrs
Bayou Sweetheart,Lexi Blake,Length: 11 hrs
Possessed by the Stryxian,Ella Blake,Length: 6 hrs and 10 mins
Wherever Seeds May Fall,Peter Cawdron,Length: 12 hrs
The Source Field Investigations,David Wilcock,Length: 24 hrs
Harm's Way,David Mack,Length: 10 hrs and 30 mins
Bad Influence,Jessica Pressler,Length: 9 hrs and 30 mins
"Fierce, Endless, True",Layla Hagen,Length: 22 hrs and 29 mins
Affirmations for Empaths,Judith Orloff,Length: 1 hr and 30 mins
Son of the Poison Rose,Jonathan Maberry,Length: 14 hrs
Timeout,Lisa Suzanne,Length: 4 hrs
Extenuating Circumstances,Joyce Carol Oates,Length: 20 hrs
The Code Book,Simon Singh,Length: 12 hrs
Aurora,David Koepp,Length: 9 hrs and 6 mins
What the Ermine Saw,Eden Collinsworth,Length: 5 hrs and 45 mins
Play It Right,Kamal Gupta,Length: 8 hrs and 8 mins
Daughters of an Amber Noon,Katherine V. Forrest,Length: 7 hrs and 4 mins
Mama Don't Let Your Babies Grow Up to Be Hitmen,Leslie Langtry,Length: 3 hrs and 10 mins
The Beach,Alex Garland,Length: 11 hrs and 15 mins
An Immense World,Ed Yong,Length: 14 hrs and 17 mins
Kairos: Legacy of Hades,Maxime J. Durand,Length: 24 hrs and 7 mins
The Last White Man,Mohsin Hamid,Length: 7 hrs
Star Trek: Picard: Second Self,Una McCormack,Length: 12 hrs
Lady Secrets,Keltie Knight,Length: 8 hrs
Refuge Recovery,Noah Levine,Length: 8 hrs
The Lord Is My Courage,K.J. Ramsey,Length: 6 hrs and 15 mins
Dangerous Temptation,Giana Darling,Length: 7 hrs and 40 mins
Nine Liars,Maureen Johnson,Length: 10 hrs
Mort,Terry Pratchett,Length: Not Yet Known
Mad About You,Mhairi McFarlane,Length: 12 hrs
All That Is Wicked,Kate Winkler Dawson,Length: 10 hrs and 30 mins
The Rational Bible: Deuteronomy,Dennis Prager,Length: 19 hrs
Uplink Squadron,J.N. Chaney,Length: 11 hrs and 16 mins
The Full-Blood Series: Books 1-3,Serena Nova,Length: 33 hrs and 26 mins
Free Fall,Nancy Mehl,Length: 8 hrs and 34 mins
The RPG Apocalypse 2,Jeremy Chambless,Length: 11 hrs and 16 mins
Gods in Everyman,Jean Shinoda Bolen MD,Length: 14 hrs and 40 mins
The Nazi Conspiracy,Brad Meltzer,Length: 9 hrs and 45 mins
Viking Kingdom,Griff Hosker,Length: 9 hrs and 41 mins
Heart of Shadow,Sarah K.L. Wilson,Length: 6 hrs and 57 mins
Things We Do in the Dark,Jennifer Hillier,Length: 12 hrs
Carolina Moonset,Matt Goldman,Length: 9 hrs
Woman of Light,Kali Fajardo-Anstine,Length: 10 hrs and 6 mins
Nightcrawling,Leila Mottley,Length: 9 hrs
Nora Goes Off Script,Annabel Monaghan,Length: 6 hrs and 57 mins
Out of the Blue,Jason June,Length: 10 hrs and 15 mins
Reverse Scale,Tinalynge,Length: 9 hrs and 51 mins
The Best Is Yet to Come,Debbie Macomber,Length: 7 hrs and 18 mins
Groomed to Perfection,Samantha Chase,Length: 8 hrs and 4 mins
What If Love Is the Point?,Carlos PenaVega,Length: 5 hrs and 53 mins
What Moves the Dead,T. Kingfisher,Length: 5 hrs and 45 mins
The Raven Song,Luanne G. Smith,Length: 10 hrs
The Girl Who Survived,Lisa Jackson,Length: 14 hrs and 41 mins
The German Wife,Kelly Rimmer,Length: 10 hrs
The Next 365 Days,Blanka Lipinska,Length: 11 hrs
Blood and Fire,Brian R. Solomon,Length: 14 hrs and 32 mins
When the Shooting Starts,J.A. Johnstone,Length: 8 hrs and 53 mins
Fallen Worlds,J.G. Cressey,Length: 16 hrs and 34 mins
The Sixteen Trees of the Somme,Lars Mytting,Length: 15 hrs and 3 mins
Rest Is Resistance,Tricia Hersey,Length: 8 hrs
You Couldn't Ignore Me If You Tried,Susannah Gora,Length: 15 hrs and 6 mins
The Book of Jose,Fat Joe,Length: 9 hrs
Miss Morton and the English House Party Murder,Catherine Lloyd,Length: 9 hrs and 42 mins
The Great Smoky Mountains National Park,Steve Stockton,Length: 2 hrs and 57 mins
Queen of Bitter Thorn,Kay L. Moody,Length: 10 hrs and 14 mins
An Immigrant's Love Letter to the West,Konstantin Kisin,Length: Not Yet Known
My Greatest Save,Briana Scurry,Length: 8 hrs and 16 mins
Electable,Ali Vitali,Length: 12 hrs
The Missing Life,Melissa Hill,Length: 8 hrs
Language at the Speed of Sight,Mark Seidenberg,Length: 11 hrs and 30 mins
Do You Remember?,Freida McFadden,Length: 7 hrs and 12 mins
Lucky Jim,Kingsley Amis,Length: 10 hrs
The Last Sentinel,Simon Gervais,Length: 10 hrs
Moira's Pen,Megan Whalen Turner,Length: 10 hrs
Fantastic Numbers and Where to Find Them,Antonio Padilla,Length: 11 hrs and 30 mins
Lucy by the Sea,Elizabeth Strout,Length: 10 hrs
The Unfair Advantage,Ash Ali,Length: 8 hrs and 15 mins
"Nancy Mitford: Pursuit of Love, Love in a Cold Climate & More",The Estate of Nancy Mitford,Length: 6 hrs and 59 mins
The World Deserves My Children,Natasha Leggero,Length: 8 hrs and 15 mins
Sever,Caitlyn Dare,Length: 8 hrs and 38 mins
Tracers in the Dark,Andy Greenberg,Length: 12 hrs
Rescuing Ellena,Anna Blakely,Length: 9 hrs and 17 mins
The Outlaw's Claim,Brenda Jackson,Length: 12 hrs
How to Raise an Antiracist,Ibram X. Kendi,Length: 11 hrs
Nothing More to Tell,Karen M. McManus,Length: 10 hrs
Alpha Resplendent,Arthur Stone,Length: 15 hrs and 1 min
Blood Price,Aria Storm,Length: 8 hrs and 35 mins
Life on the Mississippi,Rinker Buck,Length: 15 hrs
Good and Beautiful and Kind,Rich Villodas,Length: 7 hrs and 30 mins
The Matchmaker's Gift,Lynda Cohen Loigman,Length: 10 hrs and 30 mins
Blade Breaker,Victoria Aveyard,Length: 16 hrs and 30 mins
Risky,Aurora Rose Reynolds,Length: 5 hrs and 54 mins
The Neighborhood,Matthew Betley,Length: 10 hrs
Quit,Annie Duke,Length: 8 hrs
Well Traveled,Jen DeLuca,Length: 10 hrs
Screaming on the Inside,Jessica Grose,Length: 12 hrs
Skin and Bones,Paul Doiron,Length: 2 hrs
What Lies Beyond the Veil,Harper L. Woods,Length: 14 hrs
The Cradle of Ice,James Rollins,Length: 18 hrs
The Hookup Plan,Farrah Rochon,Length: 11 hrs
This Is Not a Pity Memoir,Abi Morgan,Length: 10 hrs
A Taste of Gold and Iron,Alexandra Rowland,Length: 16 hrs
The Paper Caper,Kate Carlisle,Length: 8 hrs and 27 mins
Working Girls,Trixie Mattel,Length: 6 hrs
A Botanist's Guide to Parties and Poisons,Kate Khavari,Length: 8 hrs and 12 mins
The Fireworks,Nicole Pyland,Length: 8 hrs and 25 mins
Hope in 60 Seconds,Cristina Baker,Length: 4 hrs and 23 mins
The Ink Black Heart,Robert Galbraith,Length: Not Yet Known
A Night in the Lonesome October,Roger Zelazny,Length: 9 hrs and 45 mins
Sleepwalk,Dan Chaon,Length: 12 hrs and 4 mins
Time to Kill,Paul Gitsham,Length: 10 hrs and 14 mins
Armageddon,Rick Partlow,Length: 11 hrs and 30 mins
Voice of Fear,Heather Graham,Length: 7 hrs and 30 mins
Nashville Days,Julie Capulet,Length: 7 hrs and 3 mins
Bloodied Hands,Adelaide Forrest,Length: 10 hrs
And There Was Light,Jon Meacham,Length: 15 hrs
The Blood Traitor,Lynette Noni,Length: 16 hrs
Fake It Till You Bake It,Jamie Wesley,Length: Not Yet Known
What Lovers Do,Jewel E. Ann,Length: 9 hrs and 51 mins
A Family Torn Apart,Cathy Glass,Length: 8 hrs and 57 mins
A Warrior's Curse,Jacob Peppers,Length: 13 hrs and 31 mins
Bitch,Lucy Cooke,Length: 11 hrs and 54 mins
Strictly Business,Ruth Cardello,Length: 8 hrs and 49 mins
The Lost Girls of Willowbrook,Ellen Marie Wiseman,Length: 10 hrs and 15 mins
Embrace Fearlessly the Burning World,Barry Lopez,Length: 10 hrs and 8 mins
The Last to Vanish,Megan Miranda,Length: 10 hrs
In the Middle of Hickory Lane,Heather Webber,Length: 11 hrs and 24 mins
Existential Physics,Sabine Hossenfelder,Length: 8 hrs and 30 mins
Take Back Your Power,Deborah Liu,Length: 5 hrs and 59 mins
"By Bow, Daggers & Sword",Marc Alan Edelheit,Length: 8 hrs and 9 mins
Heart of Summer,Max Walker,Length: 6 hrs and 41 mins
Clive Cussler's The Serpent's Eye,Robin Burcell,Length: 11 hrs
Last Call at the Nightingale,Katharine Schellman,Length: 9 hrs and 10 mins
Crossing Borders,Marie James,Length: 7 hrs and 4 mins
Buried in a Good Book,Tamara Berry,Length: 8 hrs and 4 mins
"Madly, Deeply",Alan Rickman,Length: 10 hrs and 30 mins
Resilience After Dark,Marie Force,Length: 8 hrs
Our Wives Under the Sea,Julia Armfield,Length: 6 hrs and 40 mins
NYPD Red 7: The Murder Sorority,Marshall Karp,Length: 9 hrs
The Number 94 Project,Cheyenne Blue,Length: 10 hrs and 20 mins
Iona Iverson's Rules for Commuting,Clare Pooley,Length: 10 hrs
Toxic Superfoods,Sally K. Norton,Length: 7 hrs and 30 mins
Constantine’s Sword,James Carroll,Length: 27 hrs
Rough Draft,Katy Tur,Length: 7 hrs and 54 mins
Acts of Violet,Margarita Montimore,Length: 11 hrs and 9 mins
Tempest Tide,Deacon Frost,Length: 10 hrs and 3 mins
The Weight of Command,Michael Mammay,Length: Not Yet Known
Zee Knocked Down,Justin Monroe,Length: 15 hrs and 21 mins
Bastille vs. the Evil Librarians,Brandon Sanderson,Length: 6 hrs and 45 mins
Camper and Criminals Cozy Mystery Boxed Set,Tonya Kappes,Length: 14 hrs and 19 mins
Unforgiven,Rebecca Zanetti,Length: 9 hrs and 15 mins
An Island Wedding,Jenny Colgan,Length: 12 hrs and 27 mins
Token Black Girl,Danielle Prescod,Length: 9 hrs
For the Throne,Hannah Whitten,Length: 14 hrs
Star of His Heart,Brenda Jackson,Length: 5 hrs and 15 mins
Someday Is Today,Matthew Dicks,Length: 10 hrs and 45 mins
Beasts of Ruin,Ayana Gray,Length: 11 hrs
Ghost Lover,Lisa Taddeo,Length: 12 hrs
Illegally Yours,Rafael Agustin,Length: 9 hrs and 30 mins
The Ruin of All Witches,Malcolm Gaskill,Length: 11 hrs
The Lies I Told,Mary Burton,Length: 10 hrs
"The Mummy, the Will, and the Crypt",John Bellairs,Length: 3 hrs and 22 mins
Ashes in the Wind,Kathleen E. Woodiwiss,Length: 29 hrs
Five Decembers,James Kestrel,Length: 12 hrs and 13 mins
How to Grow,Marcus Bridgewater,Length: 5 hrs and 12 mins
True,Kostya Kennedy,Length: 9 hrs and 30 mins
Astrid Parker Doesn't Fail,Ashley Herring Blake,Length: 10 hrs
To Kill a Troubadour,Martin Walker,Length: 10 hrs and 45 mins
Devil-Land,Clare Jackson,Length: Not Yet Known
Adventures in the Screen Trade,William Goldman,Length: 13 hrs and 39 mins
Bad News,Batya Ungar-Sargon,Length: 7 hrs and 49 mins
"Inner Mastery, Outer Impact",Hitendra Wadhwa PhD,Length: 9 hrs
Time Shelter,Georgi Gospodinov,Length: 10 hrs and 19 mins
Thank You for Your Servitude,Mark Leibovich,Length: 12 hrs
The American Roommate Experiment,Elena Armas,Length: 12 hrs and 30 mins
Worth the Candle: Trust and Consequences,Alexander Wales,Length: 18 hrs and 4 mins
Fair Trade,Mackey Chandler,Length: 13 hrs and 10 mins
The Family Game,Catherine Steadman,Length: 8 hrs and 30 mins
Detection Detail & Ready to Protect & Hiding in Montana,Valerie Hansen,Length: 17 hrs and 25 mins
How to Kill Your Family,Bella Mackie,Length: 12 hrs
Alabama v. King,David Fisher - contributor,Length: 12 hrs and 25 mins
Counterfeit,Kirstin Chen,Length: 7 hrs and 20 mins
A Salty Piece of Land,Jimmy Buffett,Length: 14 hrs and 39 mins
Stay Awake,Megan Goldin,Length: 11 hrs and 18 mins
Daughters of an Emerald Dusk,Katherine V. Forrest,Length: 6 hrs and 35 mins
Battle for the Kingdom,Bradford Bates,Length: 14 hrs and 18 mins
Master of Furies,Raymond E. Feist,Length: 10 hrs and 40 mins
Signal,Jasper T. Scott,Length: Not Yet Known
Karma's Payback,Untamed,Length: 10 hrs and 18 mins
"The Grey Wolves Series: Books 1, 2 & 3",Quinn Loftis,Length: 25 hrs and 47 mins
Flattered by Flowers: The Anthology,Forthright,Length: 12 hrs and 18 mins
HBR Guide to Managing Flexible Work,Harvard Business Review,Length: 3 hrs and 48 mins
Mercury Pictures Presents,Anthony Marra,Length: 9 hrs and 30 mins
Man o' War,Cory McCarthy,Length: 10 hrs and 16 mins
City of Orange,David Yoon,Length: 11 hrs and 10 mins
The Beach Trap,Ali Brady,Length: 10 hrs
On Gin Lane,Brooke Lea Foster,Length: 11 hrs and 56 mins
Origins of The Wheel of Time,Michael Livingston,Length: 11 hrs
Rascal Does Not Dream of Bunny Girl Senpai,Hajime Kamoshida,Length: 5 hrs and 26 mins
Crazy to Leave You,Marilyn Simon Rothstein,Length: 8 hrs and 35 mins
The Murders at Fleat House,Lucinda Riley,Length: 11 hrs and 38 mins
Wild Problems,Russ Roberts,Length: 9 hrs
Murder Is No Picnic,Amy Pershing,Length: 9 hrs
First World Problems,Cassiopeia Fletcher,Length: 16 hrs
Enola Holmes and the Elegant Escapade,Nancy Springer,Length: 6 hrs and 33 mins
The Prisoner,B.A. Paris,Length: 10 hrs
Lally's Game,Scott Cawthon,Length: Not Yet Known
How to Defend Your Lair,Keith Ammann,Length: 10 hrs and 30 mins
Seasparrow,Kristin Cashore,Length: 13 hrs
Everyone in My Family Has Killed Someone,Benjamin Stevenson,Length: 9 hrs and 31 mins
The Art of Getting It Wrong,Stephen Miller,Length: 5 hrs and 7 mins
Wrecked,Mary Anna Evans,Length: 10 hrs
The World Record Book of Racist Stories,Amber Ruffin,Length: 7 hrs
Hitmen,Scott M. Deitche,Length: 5 hrs and 40 mins
Last Stand,JN Chaney,Length: 7 hrs and 12 mins
Last but Not Leashed,Eileen Brady,Length: 7 hrs and 33 mins
Soul of the Deep,Natasha Bowen,Length: 11 hrs
The Vanderbeekers on the Road,Karina Yan Glaser,Length: 6 hrs and 15 mins
The Dead Romantics,Ashley Poston,Length: 9 hrs
Eclipse the Moon,Jessie Mihalik,Length: 12 hrs
The Care & Keeping of You 1—20th Anniversary Edition,Valorie Schaefer,Length: 2 hrs and 1 min
Bury Me When I'm Dead,Cheryl A. Head,Length: 9 hrs and 18 mins
Ways of Being,James Bridle,Length: 11 hrs and 30 mins
The Christopher Marlowe BBC Radio Drama Collection,Christopher Marlowe,Length: 12 hrs
Arguing for a Better World,Arianne Shahvisi,Length: 10 hrs
The Islander,Chris Blackwell,Length: 12 hrs
Daisy Darker,Alice Feeney,Length: 9 hrs and 45 mins
Kingdom Values,Tony Evans,Length: 7 hrs and 30 mins
Men of Honor Series,K.C. Lynn,Length: 36 hrs and 22 mins
The Man Who Could Move Clouds,Ingrid Rojas Contreras,Length: 8 hrs
The Final Coordinate,Marc Jacobs,Length: 12 hrs and 41 mins
The Symbiont,Evan Klein,Length: 11 hrs and 12 mins
The Beauty Chasers,Timothy Willard,Length: 8 hrs and 23 mins
The Nature of the Game,Mike Keiser,Length: 10 hrs and 23 mins
Harvest Moon,Denise Hunter,Length: 10 hrs and 30 mins
Afterlives,Abdulrazak Gurnah,Length: 10 hrs
Russia,Antony Beevor,Length: 20 hrs
Safe Haven Marriage,Archibald D. Hart,Length: 7 hrs
Enticed from the Deep,Octavia Kore,Length: 14 hrs and 56 mins
Demon Copperhead,Barbara Kingsolver,Length: 22 hrs
Russia,Antony Beevor,Length: 22 hrs and 3 mins
Little Brother,Ben Westhoff,Length: 8 hrs and 10 mins
Reel to Real,Bell Hooks,Length: 10 hrs and 55 mins
Hell's March,Taylor Anderson,Length: 22 hrs and 30 mins
Attraction Distraction,Jenn McKinlay,Length: 3 hrs and 20 mins
Halo: The Rubicon Protocol,Kelly Gay,Length: 9 hrs
The Sophomore,Monica Murphy,Length: 9 hrs and 29 mins
Get What You Want,Julie Solomon,Length: 4 hrs and 36 mins
The Boy Who Followed His Father into Auschwitz,Jeremy Dronfield,Length: 10 hrs
A Very Merry Bromance,Lyssa Kay Adams,Length: 10 hrs
Snowstorm in August,Marshall Karp,Length: 10 hrs
Reading for Our Lives,Maya Payne Smart,Length: 10 hrs and 30 mins
The Wild and Free Family,Ainsley Arment,Length: 6 hrs and 15 mins
Putin's Trolls,Jessikka Aro,Length: 14 hrs
Thief of Fate,Jude Deveraux,Length: 12 hrs
Unbridled Cowboy,Maisey Yates,Length: 12 hrs and 22 mins
Wake Him Up,Michael Anderle,Length: 9 hrs and 30 mins
An Affair of Spies,Ronald H. Balson,Length: 9 hrs and 45 mins
Beautiful People Don't Just Happen,Scott Sauls,Length: 4 hrs and 6 mins
Hunting Time,Jeffery Deaver,Length: 12 hrs
