Titulo,Pais,Duracion,Año,Director
Encounter (2021),"United Kingdom, United States",1hora 48minutos,2021,"Michael Pearce,"
Doraemon: Nobita y los héroes del espacio (2015),"Japan, South Korea",1hora 40minutos,2015,"Yoshihiro Osugi,"
Zola (2021),United States,1hora 26minutos,2021,"Eric Scott Williamson,Janicza Bravo,Michael Kefeyalew,Ricky R. Weaver,Sheri Davani"
Revancha (2015),"Hong Kong, United States",2horas 3minutos,2015,"Antoine Fuqua,,Deirdre Horgan"
Cara de guerra (1987),"United Kingdom, United States",2horas,1987,"Chris Thompson,Stanley Kubrick,Terry Needham"
Quiero comerme tu páncreas (2018),Japan,1hora 48minutos,2018,"Shinichiro Ushijima,"
Tratamiento real (2022),"New Zealand, United States",1hora 36minutos,2022,"Rick Jacobson,"
La leyenda de Hei (2019),China,1hora 42minutos,2019,"MTJJ,"
La serpiente y el arco iris (1988),United States,1hora 38minutos,1988,"Robert Engelman,Wes Craven"
Cara Cortada (1932),United States,1hora 33minutos,1932,"Howard Hawks,John Lee Mahin,Richard Rosson,Seton I. Miller,W.R. Burnett"
Caracortada (1983),United States,2horas 50minutos,1983,"Brian De Palma,Chris Soldo,Jerry Ziesmer"
Cosmética del enemigo (2021),United States,2horas 30minutos,"1997,2021","Alison C. Rosa,Bruce Moriarty,Cellin Gluck,Darin Rivetti,Kike Maíllo,,Luca Kouimelis,Lucille OuYang,Robert Zemeckis,Steve Starkey"
La abuela (2022),"Spain, France, Belgium",1hora 40minutos,2022,"Paco Plaza,"
007: Los diamantes son eternos (1971),United Kingdom,2horas,1971,Guy Hamilton
007: Vive y deja morir (1973),United Kingdom,2horas 1minuto,1973,"Derek Cracknell,Elaine Schreyeck,Guy Hamilton"
Sherlock Holmes y el Gran Escape (2019),Hong Kong,1hora 24minutos,2019,"Matthew Chow Wing-siu,Toe Yuen"
Tenacious D (2006),"United States, Germany",1hora 33minutos,2006,"Liam Lynch,"
La Casa De Al Lado: Conoce A Los Negros 2 (2021),United States,1hora 37minutos,2021,"Deon Taylor,Jon C. Scheide,Nicholas Hiles,Tim Neven,Yor-El Francis"
Cazador contra cazador (2020),Canada,1hora 33minutos,2020,"Joshua Hood,Roman Buchok,Ryan Cooper,Shawn Linden"
Apocalipsis ártico (Arctic Apocalypse) (2019),United States,1hora 28minutos,2019,"Eric Paul Erickson,Jon Kondelik"
El pago (2003),"United States, Canada",1hora 59minutos,2003,"Arthur Anderson,Ashley Bell,Brian Smrz,Cameron Kuc,Cate Hardman,Daniel Mansfield,Jamie Marshall,John Woo,Michael Collins"
Hoffa (1992),United States,2horas 20minutos,1992,"Danny DeVito,Wilma Garscadden-Gahret"
Telarañas del Alma (2021),United States,1hora 49minutos,2021,"Devin Jurkiewicz,Inon Shampanier"
Bob Esponja: La película (2004),United States,1hora 27minutos,2004,"Audrey Stedman,Casey Alexander,Karen Hamrock,Marco Cinello,Stephen Hillenburg"
Bob Esponja: Un héroe fuera del agua (2015),"United States, South Korea, Australia",1hora 33minutos,2015,"Bob Camp,Carla Rose Ponzio,Clint Bond Jr.,Jeffrey Schwartz,Joe Orrantia,Kaukab Basheer,Lisa C. Satriano,Lynn K. D'Angona,Melinda Taksen,Mick De Falco,Paul Tibbitt"
Bob Esponja: Al rescate (2020),"United States, South Korea",1hora 35minutos,2020,"Tim Hill,"
House of Sand and Fog (2003),United States,2horas 6minutos,2003,"Scott Peterson,Vadim Perelman"
Scarlett (2020),United States,1hora 43minutos,2020,"John Lyde,"
El Libro de Eli (2010),United States,1hora 58minutos,2010,"Albert Hughes,Allen Hughes,Charles Parish,Jeffrey Wetzel,Pam Fuller,Paul Schneider"
Albert (2015),Denmark,1hora 10minutos,2015,"Karsten Kiilerich,"
Hijo de Dios (2014),United States,2horas 18minutos,2014,"Christopher Spencer,"
Laura Pausini – Piacere di conoscerti (2022),Italy,1hora 21minutos,2022,"Ivan Cotroneo,"
El rey de la fiesta (2021),Mexico,1hora 30minutos,2021,"Salomón Askenazi,"
Metal Lords (2022),United States,1hora 37minutos,2022,"James Moran,Peter Sollett,Tim Johnson"
The Trigonal: Fight for Justice (2018),Philippines,2horas 2minutos,2018,"Jenny Uy-Estrope,Vincent Soberano"
Una cita con el pasado (2022),United States,1hora 42minutos,2022,"Janus Metz Pedersen,"
Entre la vida y la muerte (2022),United States,1hora 56minutos,2022,"Arie Posin,"
Yaksha: Operaciones despiadadas (2022),"Korea, South Korea",2horas 5minutos,2022,"Na Hyun,"
El Sastre de la Mafia (2022),United States,1hora 45minutos,2022,"Graham Moore,"
Bull Shark (2022),United States,1hora 20minutos,2022,"Brett Bentman,"
Brujas De Amityville (2020),United Kingdom,1hora 31minutos,2020,"Rebecca Matthews,"
Animales Fantasticos: Una Historia Natural (2022),United States,58minutos,2022,"Adam White,Chris Chapman"
El Hombre Bicentenario (1999),"United States, Germany",2horas 11minutos,1999,"Chris Columbus,"
Y dónde esta el fantasma 2 (2014),United States,1hora 27minutos,2014,"Michael Tiddes,"
Y dónde esta el fantasma (2013),United States,1hora 26minutos,2013,"Michael Tiddes,"
Estigma (1999),"United States, Mexico",1hora 43minutos,1999,"Jeanne Byrd,Rupert Wainwright"
La Propuesta (2009),United States,1hora 48minutos,2009,"Anne Fletcher,Mollie Stallman,Raymond Prado,Rich Sickler,Rosemary C. Cremona,Susanna David"
La La Land: Una historia de amor (2016),"United States, Hong Kong",2horas 8minutos,2016,"Damien Chazelle,Lyn Matsuda Norton,Paula Case,Peter Kohn"
007: El hombre de la pistola de oro (1974),United Kingdom,2horas 5minutos,1974,"Elaine Schreyeck,Guy Hamilton,Ray Freeborn"
El Profesor (2018),United States,1hora 30minutos,2018,"Wayne Roberts,"
007: La espía que me amó (1977),United Kingdom,2horas 5minutos,1977,"Ariel Levy,June Randall,Lewis Gilbert"
Como Por Casualidad (2021),"Ireland, United States",1hora 25minutos,2021,"Clare Niederpruem,"
La Llamada del Diablo (2020),United States,1hora 37minutos,2020,Timothy Woodward Jr.
Corre y Dispara (2022),United States,1hora 35minutos,2022,"Christopher Borrelli,"
Pánico en las alturas (2019),Russia,1hora 27minutos,2019,"Tigran Sahakyan,"
Z (2019),Canada,1hora 23minutos,2019,"Brandon Christensen,"
007: Misión espacial (1979),"United Kingdom, France",2horas 6minutos,1979,"Barbara Broccoli,Lewis Gilbert"
El vendedor chino (2017),"United States, China, Hong Kong",1hora 50minutos,2017,"Tan Bing,"
Zona de choque (2020),Denmark,1hora 48minutos,2020,"Anders Ølholm,Frederik Louis Hviid"
Furioza (2021),Poland,2horas 19minutos,2021,"Cyprian T. Olencki,"
007: Sólo para tus ojos (1981),United Kingdom,2horas 7minutos,1981,"John Glen,"
Batman: Alma del Dragón (2021),United States,1hora 23minutos,2021,"Sam Liu,"
Hickok (2017),United States,1hora 28minutos,2017,"Anna Bowen,Josh Tessier,Timothy Woodward Jr."
007: Octopussy contra las chicas mortales (1983),United Kingdom,2horas 11minutos,1983,"Barbara Broccoli,John Glen,"
Killer Cheer Mom (2021),United States,1hora 27minutos,2021,"Randy Carter,"
El Rezador (2021),"Ecuador, Colombia",1hora 35minutos,2021,"Tito Jara,"
007: En la mira de los asesinos (1985),"United Kingdom, United States",2horas 11minutos,1985,"Barbara Broccoli,John Glen,"
Están entre nosotros (2004),Thailand,1hora 37minutos,2004,"Ake Punyasee,Banjong Pisanthanakun,Nalina Chayasombat,Parkpoom Wongpoom,Ratchapan Ratwattananun,Sangrawee Jongsinkul,Vicha Jittrarat,Weerachai Yaikwawong"
Imagenes del más allá (2008),United States,1hora 25minutos,2008,"Ed Licht,Masayuki Ochiai"
Amor Verdadero (2007),"United Kingdom, Ireland",2horas,2007,"Jeanette McGrath,Julian Jarrold"
El robo perfecto (2018),United States,2horas 19minutos,2018,"Carmen Soriano,Christian Gudegast,Mari Wilson"
Truman Show: Historia de una vida (1998),United States,1hora 43minutos,1998,"Alan B. Curtiss,David M. Bernstein,Jonathan Watson,Michael J. McAlister,Peter Weir,Wilma Garscadden-Gahret"
Para toda la vida (2020),"United States, China",1hora 33minutos,2020,"Marc Meyers,"
La hora del miedo (2019),"United States, United Kingdom",1hora 39minutos,2019,"Alistair Banks Griffin,"
Zapatos Rojos y los Siete Enanos (2019),South Korea,1hora 32minutos,2019,"Hong Sung-ho,Jang Moo-hyun,Uhm Young Sik"
Altitud (2017),United States,1hora 28minutos,2017,"Alex Merkin,Samantha Telford"
La Herencia de la Víbora (2019),United States,1hora 30minutos,2019,"Anthony Jerjen,Chad Rosen,Jeff Fuller,Mikhaela Rosen"
A prueba de hombres (2007),United States,1hora 45minutos,2007,"Gary Guercio,Rob Schneider,Tracy Scott"
Más allá de ti (2020),Japan,1hora 35minutos,2020,"Yoshinobu Sena,"
Women vs. Men (2015),Russia,1hora 30minutos,2015,"Tair Mamedov,"
Piola (2020),Chile,1hora 41minutos,2020,"Amanda Cavalcante,Luis Alejandro Pérez,Marianne Lukacs,Sylvana Squicciarini"
El acusado y el espía (2019),"France, Italy",2horas 12minutos,2019,"Hubert Engammare,Roman Polanski"
La rosa de Bombay (2019),"India, United Kingdom, France, Qatar",1hora 33minutos,2019,"Gitanjali Rao,"
Vier zauberhafte Schwestern (2020),Germany,1hora 37minutos,2020,"Sven Unterwaldt Jr.,"
El diablo entre las piernas (2021),"Mexico, Spain",2horas 25minutos,2021,"Arturo Ripstein,"
Henchmen (2018),Canada,1hora 21minutos,2018,"Adam Wood,"
Inseguros (2019),United States,1hora 39minutos,2019,"Michelle Danner,"
Rugrats: La película (1998),United States,1hora 19minutos,1998,"Igor Kovalyov,Marco Cinello,Norton Virgien"
Rugrats en París (2000),"Germany, United States",1hora 18minutos,2000,"Adam Henry,Paul Demeyer,Silvia Pompei,Stig Bergqvist"
Me contro Te: Il film – La vendetta del Signor S (2020),Italy,1hora 4minutos,2020,"Gianluca Leuzzi,"
Rugrats: Vacaciones Salvajes (2003),United States,1hora 24minutos,2003,"Adam Henry,Heiko von Drengenberg,Jay Jackson,John Eng,Norton Virgien,Silvia Pompei"
Austin Powers: El espía seductor (1999),United States,1hora 35minutos,1999,"Annie Welles,Gary Marcus,Hal Olofsson,Jay Roach,Ronit Ravich-Boss"
Golpe Bajo: El Juego Final (2005),United States,1hora 53minutos,2005,"Doug Coleman,Efrain Cortes,John Hockridge,Joseph J. Kontra,Nancy Karlin,Peter Segal,Timothy Grant Engle"
El Exorcismo De Emily Rose (2005),United States,2horas 2minutos,2005,"Christine Wilson,Dean Choe,Mark Bunting,Morgan Beggs,Scott Derrickson,Sean Osmack"
El Quinto Elemento (1997),"France, United Kingdom, United States",2horas 6minutos,1997,
Zathura: Una aventura espacial (2005),United States,1hora 41minutos,2005,"Alicia Accardo,Bruce Franklin,Conte Mark Matal,Hans Berggren,Jon Favreau"
Wallace y Gromit: La batalla de los vegetales (2005),"United Kingdom, United States",1hora 25minutos,2005,"David Button,Kate Munkenbeck,Lisa Butler,Marnie Paxton,Merlin Crossingham,Nick Park,Penny Foster,Richard Beek,Steve Box,Vinny Cannon"
"Fargo, secuestro voluntario (1996)","United States, United Kingdom",1hora 38minutos,1996,"Joel Coen,"
El Lugar Donde Todo Termina (2013),United States,2horas 20minutos,2013,"Brad Robinson,Derek Cianfrance,Dustin Bricker,Mariela Comitini"
Petite maman (2021),France,1hora 12minutos,2021,"Céline Sciamma,Delphine Daull,Jérémy Debord"
Gintama 2 (2018),Japan,2horas 15minutos,2018,"Yuichi Fukuda,"
Hijos de Nadie (2018),"United Kingdom, United States, France",1hora 47minutos,2018,"Adewale Akinnuoye-Agbaje,"
La película de Bugs Bunny y el Correcaminos (1979),United States,1hora 38minutos,1979,"Chuck Jones,Phil Monroe"
"Looney, Looney, Looney: La película de Bugs Bunny (1981)",United States,1hora 20minutos,1981,Friz Freleng
Battle: Estilo libre (2022),Norway,1hora 28minutos,2022,"Ingvild Søderlind,"
Capitán Nova (2021),Netherlands,1hora 26minutos,2021,"Maurice Trouwborst,"
Falling for Figaro (2021),"Australia, United States, United Kingdom",1hora 45minutos,2021,"Ben Lewin,"
"Karem, La Posesión (2021)",Mexico,1hora 35minutos,2021,"Henry Bedwell,"
Moonfall: Impacto lunar (2022),"United States, China, United Kingdom, Canada",2horas 10minutos,2022,Roland Emmerich
"Pasión, amor y muerte (2021)",United States,1hora 32minutos,2021,"Collin Schiffli,"
Apolo 10 1/2: Una infancia espacial (2022),United States,1hora 38minutos,2022,"Richard Linklater,T.J. Larson"
La tercera película de Bugs Bunny: Los mil y un cuentos de Bugs (1982),United States,1hora 14minutos,1982,"Chuck Jones,Friz Freleng,Robert McKimson"
The Bubble (2022),United States,2horas 6minutos,2022,Judd Apatow
Better Nate Than Ever (2022),United States,1hora 32minutos,2022,"Tim Federle,"
Antes del amanecer (1995),"United States, Austria",1hora 41minutos,1995,Richard Linklater
La niñera (2017),United States,1hora 25minutos,2017,"Brian Relyea,Matthew Janssen,McG,,Renetta G. Amador"
Coda (2020),Canada,1hora 36minutos,2020,"Claude Lalonde,"
Extremadamente Goofy (2000),"United States, Australia",1hora 20minutos,2000,"Abeth de la Cruz,Brian Sintay,Bruce Pederson,Dawn Castiglia,Douglas McCarthy,Kevin Watton,Mac Monks,Stephane Portal,Stephen Grant,Weylen Tseng"
El Mundo de los Olvidados (2021),United States,1hora 24minutos,2021,"Joel David Moore,"
Te veo (2019),United States,1hora 38minutos,2019,"Adam Randall,Jesse Bellis,Lynn K. D'Angona,Sherry Gunderman"
"Goofy, la película (1995)","United States, Australia, France, Canada",1hora 18minutos,1995,Kevin Lima
Every Last One of Them (2021),United States,1hora 22minutos,2021,"Christian Sesma,"
Børning (2014),Norway,1hora 32minutos,2014,"Hallvard Bræin,"
Corrupción (2019),United Kingdom,1hora 43minutos,2019,"Ron Scalpello,"
La próxima víctima (2005),United States,1hora 30minutos,2005,"Jeff Wadlow,"
One Piece: Estampida (2019),Japan,1hora 41minutos,2019,"Takashi Otsuka,"
One Piece Gold: La película (2016),Japan,2horas,2016,"Hiroaki Miyamoto,"
One Piece Movie 10: Strong World (2009),Japan,1hora 54minutos,2009,"Munehisa Sakai,"
Operation Overlord (2021),United States,1hora 20minutos,2021,"Brett Bentman,"
Granizo (2022),Argentina,1hora 58minutos,2022,Marcos Carnevale
Leal (2016),United States,2horas,2016,"Alicia Accardo,Chad Wheeler,Christina Fong,James Madigan,James McGrady,Jessica Kivnik,John Wildermuth,Kate Pulley,Katye Kalivoda,Robert Schwentke,Samantha Smith McGrady"
Insurgente (2015),"United States, Canada",1hora 59minutos,2015,"Alicia Accardo,Christina Fong,James Madigan,John Wildermuth,Robert Schwentke"
Divergente (2014),United States,2horas 20minutos,2014,"Andy Spellman,Artist W. Robinson,Bryan Goeres,Charles Simmers,Christophe Le Chanu,Dieter Busch,Garrett Warren,Jason Dusenske,Neil Burger,Valeria Migliassi Collins,Vincent Lascoumes"
Ataque de los Titanes: El rugido del despertar (2018),Japan,2horas,2018,"Masashi Koizuka,Tetsuro Araki,"
Ataque de los Titanes: Alas de la libertad (2015),Japan,2horas,2015,"Tetsuro Araki,"
Ataque de los Titanes: El arco y la flecha escarlata (2014),Japan,1hora 58minutos,2014,"Tetsuro Araki,"
