Titulo,Pais,Duracion,Año,Director
Scream: Grita antes de morir (1996),United States,1hora 52minutos,1996,"Annie Welles,Daniel K. Arredondo,Lucille OuYang,Nicholas Mastandrea,Wes Craven"
Scream 2 Grita y vuelve a gritar (1997),United States,2horas,1997,"Lucille OuYang,Nicholas Mastandrea,Ronit Ravich-Boss,Wes Craven"
Scream 3: La máscara de la muerte (2000),United States,1hora 56minutos,2000,"Daniel K. Arredondo,Nicholas Mastandrea,Rick Avery,Rosemary C. Cremona,Sheila Waldron,Wes Craven"
Scream 4 (2011),United States,1hora 51minutos,2011,"Anastacia C. Nemec,Lori Grabowski,Maria Mantia,Nicholas Mastandrea,Wes Craven"
Nadie Especial (2021),United States,1hora 35minutos,2021,"Gia Coppola,"
Venganza a golpes (2022),United States,1hora 34minutos,2022,Roel Reiné
Jurassic World: El Reino Caído (2018),United States,2horas 8minutos,2018,"Claire Chang,Erin Mast,J. A. Bayona,Jo Beckett,Rebecca Sheridan"
Jurassic World: Mundo Jurásico (2015),United States,2horas 4minutos,2015,"Chris Castaldi,Colin Trevorrow,David Leitch,Jason Roberts,Zack Smith"
Need For Speed: La Película (2014),"United States, India",2horas 10minutos,2014,"Anna Rane,Scott Waugh"
Eiffel (2021),"France, Belgium, Germany",1hora 48minutos,2021,"Martin Bourboulon,"
Infierno (1980),Italy,1hora 47minutos,1980,"Andrea Piazzesi,Dario Argento,Lamberto Bava,Serena Canevari"
Rey Richard: Una Familia Ganadora (2021),United States,2horas 25minutos,2021,"Reinaldo Marcus Green,"
Clifford: El Gran Perro Rojo (2021),"Canada, United States",1hora 37minutos,2021,"Walt Becker,"
King’s Man: El origen (2021),"United Kingdom, United States",2horas 11minutos,2021,Matthew Vaughn
Kingsman: El círculo dorado (2017),"United Kingdom, United States",2horas 21minutos,2017,"Harry Minter,Jack Ravenscroft,Lucy Ward,Matthew Vaughn"
Kingsman: El servicio secreto (2014),"United Kingdom, United States",2horas 9minutos,2014,"Lucy Ward,Matthew Vaughn"
Transformers 5: El Ultimo Caballero (2017),United States,2horas 29minutos,2017,"Jeff Okabayashi,K.C. Hodenfield,Kris Smith,Michael Bay,Reymel Delgado"
Transformers 4: La Era de la Extinción (2014),"United States, China, Hong Kong",2horas 45minutos,2014,"Alicia Accardo,Michael Bay,Weicheng Jiang"
Transformers 3: El Lado Oscuro de la Luna (2011),United States,2horas 34minutos,2011,"Alicia Accardo,Karen Golden,Michael Bay"
Transformers 2: La Venganza de los Caídos (2009),United States,2horas 29minutos,2009,"Karen Golden,Michael Bay"
Transformers (2007),United States,2horas 24minutos,2007,Michael Bay
Harry Potter 20 Aniversario: Regreso a Hogwarts (2022),"United Kingdom, United States",1hora 43minutos,2022,"Casey Patterson,Eran Creevy,Giorgio Testi,Joe Pearlman"
El túnel (2019),Norway,1hora 43minutos,2019,"Pål Øie,"
No soy quien crees (2019),"France, Belgium",1hora 42minutos,2019,"Safy Nebbou,"
Verano del 85 (2020),France,1hora 41minutos,2020,"Cristina Freitas,Elodie Gay,François Ozon,Lydia Bigard,Nicolas Tonnerre"
Gatúbela: Acechada (2022),United States,1hora 18minutos,2022,"Shinsuke Terasawa,"
La Era de Hielo: Las aventuras de Buck (2022),United States,1hora 22minutos,2022,"John C. Donkin,"
La Casa Gucci (2021),"United States, Canada",2horas 38minutos,2021,Ridley Scott
The Fallout: La vida después (2022),United States,1hora 32minutos,2022,"Megan Park,"
La familia Monster (2018),"Germany, United Kingdom",1hora 33minutos,2018,"Holger Tappe,"
La familia Monster 2 (2021),"Germany, United Kingdom",1hora 43minutos,2021,"Holger Tappe,"
Spider-Man: Lejos de Casa (2019),United States,2horas 9minutos,2019,"Deirdre Horgan,Holly Johnson,Jo Beckett,Jon Watts,Norina Mackey"
El Sorprendente Hombre Araña 2: La Amenaza de Electro (2014),United States,2horas 22minutos,2014,"Bruce Moriarty,Jessica Lichtner,Marc Webb,Michael Lerman,Steve Love,Wendy Lee Roberts"
El Sorprendente Hombre Araña (2012),United States,2horas 21minutos,2012,"Marc Webb,Richard Graves,Steve Love,Trisha Burton"
El hombre araña (2002),United States,2horas 1minuto,2002,"Doug Lefler,Eric Heffron,Jeff Shiffman,John Elmore,Michael J. Moore,Sam Raimi,Susana Preston"
El hombre araña 2 (2004),United States,2horas 7minutos,2004,"Alexandra K. Browne,Bac DeLorme,Dan Bradley,Eric Heffron,Jeff Shiffman,Sam Raimi,Trudy Ramirez"
El hombre araña 3 (2007),United States,2horas 19minutos,2007,"Sam Raimi,Trudy Ramirez"
Spider-Man: Un Nuevo Universo (2018),United States,1hora 57minutos,2018,"Alfredo Hisa,Anibis Lockward,Arem Kim,Bob Persichetti,Daniel Laczkowski,John Bermudes,Letia Lewis,Peter Ramsey,Rodney Rothman,Scott Armstrong"
Shang-Chi y la Leyenda de los Diez Anillos (2021),"United States, Australia",2horas 12minutos,2021,"Bradley James Allan,Chung Chi Li,Destin Daniel Cretton,Jeff Okabayashi"
Taxi (2004),"United States, France",1hora 37minutos,2004,"Brian Smrz,Kathleen E. Kearney,Marty Eli Schwartz,Murphy Occhino,Rebecca Strickland,Steve Gehrke,Tim Story"
Amor Sin Escalas (2009),United States,1hora 50minutos,2009,"Jason Blumenfeld,Jason Reitman,,Sonia Bhalla,Tracy Scott"
Godzilla (2014),United States,2horas 3minutos,2014,"Gareth Edwards,Jessica Clothier"
Godzilla II: El rey de los monstruos (2019),"United States, Japan",2horas 12minutos,2019,"Michael Dougherty,Thomas Robinson Harper"
Pandemia: La guerra final (2021),"Sweden, United Kingdom",1hora 27minutos,2021,"Fansu Njie,"
Aprendices Fuera de Linea (2013),United States,1hora 59minutos,2013,"Diane Durant,Josh McLaglen,Maria Battle Campbell,Shawn Levy,Simeon Jones"
Tan perversa como el diablo (2001),"United States, Australia",1hora 30minutos,2001,"Daniel Silverberg,Dennis Dugan,,Janet D. Munro,Kathy Houghton,Steve Eathorne"
Riesgo Bajo Cero (2021),"United States, Canada",1hora 48minutos,2021,"Jonathan Hensleigh,"
Stillwater (2021),United States,2horas 19minutos,2021,"Tom McCarthy,"
Candyman (2021),"United States, Canada, Australia",1hora 31minutos,2021,"Nia DaCosta,"
Una loca película épica (2007),United States,1hora 26minutos,2007,"Aaron Seltzer,Faith Conroy,Jason Friedberg,Keith Adams"
BLAME! (2017),Japan,1hora 46minutos,2017,"Hiroyuki Seshita,"
Buenos vecinos (2014),United States,1hora 36minutos,2014,"Brenda Lopez,Nicholas Stoller"
Buenos vecinos 2 (2016),"United States, China",1hora 32minutos,2016,"Alicia Accardo,Matt Haggerty,Michael J. Moore,Nicholas Stoller"
Fiesta de empresa (2016),United States,1hora 45minutos,2016,"D. J. Barton,Darin Rivetti,E. J. Foerster,Gregory J. Pawlik Jr.,Jillian Amburgey,Josh Gordon,Julie Pitkanen,Will Speck"
In the Earth (2021),United Kingdom,1hora 47minutos,2021,"Andi Coldwell,Ben Wheatley,Charlie Vaughan,Jack Wren"
"Corre, escóndete, pelea (2020)",United States,1hora 50minutos,2020,"Kyle Rankin,"
Asesino solitario (2007),"Canada, United States",1hora 43minutos,2007,"Philip G. Atwell,"
Pasante de moda (2015),United States,2horas 1minuto,2015,"Nancy Meyers,"
Querido Evan Hansen (2021),"United States, Japan",2horas 17minutos,2021,"Jonathan McGarry,Stephen Chbosky"
Enemigo Inmortal (2017),"China, Hong Kong",1hora 49minutos,2017,"Jung Ku,Leo Zhang,Rob Brown,Stephen Gallacher"
Karate Kid (2010),"United States, China",2horas 20minutos,2010,"Doug Coleman,Harald Zwart,Nikki Clapp"
Atrapada En El Fondo Del Mar (2020),"Sweden, Norway, Belgium",1hora 22minutos,2020,"Joachim Hedén,"
Jo Pil-ho: El despertar de la ira (2019),South Korea,2horas 7minutos,2019,"Lee Jeong-beom,"
La última gran estafa (2020),"United States, United Kingdom",1hora 45minutos,2020,George Gallo
Copshop: Juego de Criminales (2021),United States,1hora 47minutos,2021,"Jayson Merrill,Jessica Richey,Joe Carnahan,Marco Morales,Megan Schmidt,Nathan Kimball"
La Leyenda del caballero verde (2021),"Ireland, Canada, United States",2horas 10minutos,2021,"David Lowery,Tomas Deckaj"
Emboscada (American Siege) (2022),"Canada, United States",1hora 30minutos,2022,"Edward Drake,"
El violín de mi padre (2022),Turkey,1hora 52minutos,2022,"Andaç Haznedaroğlu,"
Infinito (2021),United States,1hora 46minutos,2021,"Antoine Fuqua,,Max Keene,Nicoletta Mani,Paul Bennett,Simon Crane"
Eternals (2021),United States,2horas 37minutos,2021,"Chloé Zhao,Dan DeLeeuw,Joe Geary,Simon Warnock"
El misterio de Soho (2021),United Kingdom,1hora 57minutos,2021,"Edgar Wright,,Jeremy Lovering,Olivia Fitzroy,Paul Cathie,Paula Casarin,Richard Graysmark"
Misterio (2021),France,1hora 24minutos,2021,"Denis Imbert,Jeanne Fontaine-Sarda"
Mother/Android (2021),United States,1hora 50minutos,2021,"Mattson Tomlin,"
Ghostland: Tierra sin ley (2021),United States,1hora 43minutos,2021,"Sion Sono,"
La tragedia de Macbeth (2021),United States,1hora 45minutos,2021,"Jeff Hubbard,Joel Coen,,Katterli Frauenfelder"
Espíritus oscuros (2021),"United States, Mexico",1hora 39minutos,2021,"John Hanley,Lorie Gibson,Pierre Henry,Scott Cooper"
A.I. – Inteligencia Artificial (2001),"United States, United Kingdom",2horas 26minutos,2001,"Ana Maria Quintana,David H. Venghaus Jr.,Jason Patnode,Lisa Brookes,Paul Byrne Prenderville,Sergio Mimica-Gezzan,Steven Spielberg"
Mafia Inc. (2020),Canada,2horas 23minutos,2020,"Daniel Grou,"
Ashfall: Alerta roja (2019),South Korea,2horas 8minutos,2019,"Choi Rin,Kim Byung-seo,Kim Sung-han,Lee Hae-jun"
Asalto a la Casa de Moneda (2021),"Spain, France",1hora 58minutos,2021,"Jaume Balagueró,"
La Invasión (2018),Australia,1hora 59minutos,2018,"Carmel Leonard,Luke Sparke"
Los viajes de Gulliver (2010),United States,1hora 25minutos,2010,"Annie Penn,Rob Letterman,Trudy Ramirez"
Empezar otra vez (2013),United States,1hora 45minutos,2013,"J. Alex Finch,John Carney,Mariela Comitini,Maura Kelly,Rebecca Breckel"
Los piratas del mar de China (1983),Hong Kong,1hora 46minutos,1983,"Jackie Chan,"
Proyecto A 2: El heredero del crimen (1987),Hong Kong,1hora 41minutos,1987,"Jackie Chan,"
Los miserables (2012),"United Kingdom, United States",2horas 37minutos,2012,"Ben Howarth,Harriet Worth,Paula Casarin,Tom Hooper"
Héroes (2009),"United States, Canada",1hora 51minutos,2009,"Ben Howard,Dennis Chang,Lisa Vick,Nick Powell,Paul McGuigan,Rebecca Fisher,Toby Ford,Wai Kei Cheng"
Corazón Valiente (1995),United States,2horas 58minutos,1995,"Charlotte Somers,David Carrigan,David Tomblin,Kate Hazell,Kieron Phipps,Matt Earl Beesley,Mel Gibson,Patrick Kinney,Paul Barnes,Paul Gray,Peter Agnew,Sally Jones,Trevor Puckle"
Chernóbil – La película (2021),Russia,2horas 16minutos,2021,"Danila Kozlovsky,"
La forma del agua (2017),"United States, Mexico",2horas 4minutos,2017,"Dug Rotstein,Guillermo del Toro,Pierre Henry"
Blade Runner (1982),United States,1hora 58minutos,1982,"Ana Maria Quintana,Donald Hauer,Morris Chapnick,Newt Arnold,Peter Cornberg,Richard Peter Schroer,Ridley Scott"
Blade Runner 2049 (2017),"United States, United Kingdom, Canada, Spain",2horas 44minutos,2017,
La nave del terror (1997),"United Kingdom, United States",1hora 36minutos,1997,"Caroline Sax,Charlotte Cinalli,Jo Beckett,Michael Stevenson,Paddy Carpenter,Patrick Clayton,Paul W. S. Anderson,,Sean Clayton"
CJ7 (2008),"Hong Kong, China",1hora 26minutos,2008,"Stephen Chow,"
Mad Max: Salvajes de autopista (1979),Australia,1hora 31minutos,1979,"George Miller,"
Mad Max 2: El guerrero de la carretera (1981),Australia,1hora 36minutos,1981,"Brian Hannant,George Miller,,Linda Ray"
Mad Max: Más allá de la cúpula del trueno (1985),Australia,1hora 47minutos,1985,"Chris Webb,Daphne Paris,George Miller,,George Ogilvie,Ian Freeman,Ian Kenny,Murray Robertson,Steve E. Andrews,Stuart Freeman"
Mad Max: Furia en el camino (2015),"Australia, United States",2horas,2015,"George Miller,,P.J. Voeten,Sophie Fabbri-Jackson"
Hotel Transylvania (2012),United States,1hora 31minutos,2012,"Daniel Erickson,Genndy Tartakovsky"
Hotel Transylvania 2 (2015),United States,1hora 29minutos,2015,Genndy Tartakovsky
Hotel Transylvania 3: Monstruos de vacaciones (2018),"United States, South Korea",1hora 37minutos,2018,Genndy Tartakovsky
Hotel Transylvania: Transformanía (2022),United States,1hora 28minutos,2022,"Derek Drymon,Jennifer Kluska"
Ghostbusters: El Legado (2021),"United States, Canada",2horas 4minutos,2021,"Jason Reitman,"
La isla (2005),United States,2horas 7minutos,2005,"Douglas Dean III,Edoardo Petti,Jason Roberts,John M. Levin,Josh McLaglen,Karen Golden,Kenny Bates,Maria Battle Campbell,Michael Bay,Paul Domick,Rich Sickler,Shaun Costello"
Gloria Bell (2019),"Chile, United States",1hora 42minutos,2019,Sebastián Lelio
Resident Evil: Bienvenido a Raccoon City (2021),"Canada, Germany",1hora 47minutos,2021,"Abel Erazo-Ibarra,Adam Bocknek,Alessia Spalvieri,Chris Feltis,Johannes Roberts,Samantha McMeekin"
El Protector (2021),United States,1hora 48minutos,2021,"Robert Lorenz,"
Medios Hermanos (2020),"Mexico, United States",1hora 36minutos,2020,"Luke Greenfield,Rip Murray"
Aquellos que desean mi muerte (2021),"Canada, United States",1hora 40minutos,2021,"Ava Amundsen,Jason Altieri,Peter McGrew,Sharron Reynolds-Enriquez,Taylor Sheridan,Wade Allen"
Pinocho (2019),"Italy, France, United Kingdom",2horas 5minutos,2019,"Matteo Garrone,"
Mortal Kombat (2021),United States,1hora 50minutos,2021,"Chris Webb,Danielle Blake,Oksana Sokol,P.J. Voeten,Simon McQuoid,Taera Shroff"
Un Milagro Inesperado (2021),"Australia, United States",1hora 35minutos,2021,"Glendyn Ivin,"
Sing: ¡Ven y canta! (2016),"Japan, United States",1hora 48minutos,2016,"Christophe Lourdelet,Garth Jennings,,Kelly Lake"
Sing 2: ¡Ven y canta de nuevo! (2021),United States,1hora 50minutos,2021,"Garth Jennings,"
Frontera caníbal (2015),"United States, United Kingdom",2horas 13minutos,2015,"Barbara Abelar,Dave Halls,Heather I. Denton,S. Craig Zahler,Zak Kristofek"
Singularidad en Justicia (2021),United States,1hora 34minutos,2021,"Alex Backus,Anna Lomakina,Chase Palmer,Niccolo Vitelli,Sara Blechman,Tess Raih"
El páramo (2021),Spain,1hora 31minutos,2021,"David Casademunt,"
Turbo: Una película de los Power Rangers (1997),"United States, Japan",1hora 39minutos,1997,"David Winning,Shuki Levy"
Kill Bill: Vol. 2 (2004),United States,2horas 16minutos,2004,"Dawn Massaro,Heather I. Denton,Quentin Tarantino,William Paul Clark"
Power Rangers: La película (1995),"United States, Japan, Australia, New Zealand",1hora 32minutos,1995,"Bryan Spicer,"
Kill Bill: Vol. 1 (2003),"United States, Hong Kong",1hora 51minutos,2003,"Heather I. Denton,Jonathan Tex Levitt,Kazuto Nakazawa,Kennedy Taylor,Mizuho Nishikubo,Quentin Tarantino,Ryan Tighe,Texas Dave,William Paul Clark"
Rayo Murali (2021),India,2horas 38minutos,2021,"Basil Joseph,Vlad Rimburg"
Las vertebras de la noche (2021),United States,1hora 33minutos,2021,"Morgan Galen King,Philip Gelatt"
Equipo foca (2021),"South Africa, United States",1hora 38minutos,2021,"Greig Cameron,Kane Croudace"
Leyendas de Pasión (1994),United States,2horas 13minutos,1994,Edward Zwick
La lista de Schindler (1993),United States,3horas 15minutos,1993,"Nada Pinter,Steven Spielberg"
Emma (2020),United Kingdom,2horas 5minutos,2020,"Autumn de Wilde,Deborah Saban,Zoe Morgan"
Jefe Papi 2: La quiebra (2021),Nigeria,1hora 52minutos,2021,"Niyi Akinmolayan,"
La hija oscura (2021),"United States, Greece",2horas 2minutos,2021,"Emmanuela Fragiadaki,Gemma Nunn,Karolina Zapatina,Maggie Gyllenhaal,Simon Hedges"
Criminal (2008),United States,1hora 43minutos,2008,"Gregory Doucette,Ric Roman Waugh"
Encontrando un destino (2021),United States,2horas,2021,"Brian Baugh,"
Historia de un crimen (2019),Germany,1hora 58minutos,2019,"Marco Kreuzpaintner,"
Separation (2021),United States,1hora 47minutos,2021,"William Brent Bell,"
Impacto (2021),United States,1hora 31minutos,2021,"Tanya Wexler,"
Navidad en 8 Bits (2021),United States,1hora 38minutos,2021,Michael Dowse
Navidad cancelada (2021),United States,1hora 34minutos,2021,"Prarthana Mohan,"
Amenaza En El Espacio (2020),Canada,1hora 29minutos,2020,"Alina Verenich,Amy Gilbert,John Suits,Logan Thomas Peterson"
Space Jam: Una nueva era (2021),United States,1hora 55minutos,2021,"Malcolm D. Lee,Michael J. Moore,Rhys Summerhayes"
The Night House (2021),"United Kingdom, United States",1hora 47minutos,2021,"David Bruckner,"
Una Navidad no tan Padre (2021),Mexico,1hora 27minutos,2021,"Raúl Martínez,"
Todo sobre los Ricardos (2021),United States,2horas 12minutos,2021,"Aaron Sorkin,,Rebecca Boyle"
Zog y los doctores voladores (2021),United Kingdom,25minutos,2021,"Sean Mullen,"
El Planeta De Los Simios: La Guerra (2017),"United States, Canada, New Zealand",2horas 20minutos,2017,"Ana Oparnica Sebal,Kimi Webber,Matt Reeves,Trisha Burton"
El Amanecer Del Planeta De Los Simios (2014),"United States, United Kingdom, Canada",2horas 10minutos,2014,
El Origen Del Planeta De Los Simios (2011),"United States, United Kingdom, Canada",1hora 45minutos,2011,"Andrea Devaux,Jessica Clothier,Rupert Wyatt"
El Planeta De Los Simios (2001),United States,1hora 59minutos,2001,"Janna Stern,Tim Burton"
La batalla por el planeta de los simios (1973),United States,1hora 33minutos,1973,J. Lee Thompson
La conquista del planeta de los simios (1972),United States,1hora 28minutos,1972,"David 'Buck' Hall,J. Lee Thompson,Jack Stubbs"
Escape del planeta de los simios (1971),United States,1hora 38minutos,1971,"Don Taylor,"
Bajo el planeta de los simios (1970),United States,1hora 35minutos,1970,"Chuck Roberson,Ted Post"
El planeta de los simios (1968),United States,1hora 53minutos,1968,"Franklin J. Schaffner,Robert Doudell,Rose Steinberg,William Kissell"
Godzilla vs Kong (2021),"United States, Australia, Canada, India",2horas 52minutos,2021,"Adam Wingard,Ashley Douglass,Brian Avery Galligan,Kerry Lyn McKissick,Nick Satriano,Thomas Robinson Harper"
Harry Potter y las reliquias de la muerte: Parte 2 (2011),United States,2horas 10minutos,2011,"Anna Worley,David Yates,Jamie Christopher,Matthew Sharp,Stephen Woolfenden"
Harry Potter y las reliquias de la muerte (1ª parte) (2010),"United Kingdom, United States",2horas 26minutos,2010,"Anna Worley,David Yates,Jamie Christopher,Stephen Woolfenden"
Harry Potter y el misterio del príncipe (2009),"United Kingdom, United States",2horas 33minutos,2009,"Anna Worley,David Yates,Jamie Christopher,Stephen Woolfenden"
Encanto (2021),"United States, Colombia",1hora 39minutos,2021,"Byron Howard,Charise Castro Smith,Jared Bush"
La fortaleza (2021),United States,1hora 40minutos,2021,"James Cullen Bressack,"
Held: Rehenes (2020),United States,1hora 34minutos,2020,"Chris Lofing,Travis Cluff"
Matrix (1999),"United States, Australia",2horas 11minutos,1999,"Colin Fletcher,James McTeigue,Lana Wachowski,Lilly Wachowski,Noni Roy,Paul Sullivan,Toby Pease,Tom Read,Victoria Sullivan"
Matrix recargado (2003),United States,2horas 18minutos,2003,
Matrix: Revoluciones (2003),United States,2horas 10minutos,2003,"Claire Richardson,James McTeigue,Kimble Rendall,Lana Wachowski,Lilly Wachowski,Toby Pease,Victoria Sullivan"
Matrix Resurrecciones (2021),United States,2horas 28minutos,2021,Lana Wachowski
Surge (2020),United Kingdom,1hora 45minutos,2020,"Aneil Karia,"
Globo y las maravillas del arrecife (2021),"Australia, United States",59minutos,2021,"Nick Robinson,"
Heredero (2021),"Ireland, United States, United Kingdom",1hora 38minutos,2021,"Andrew George,Ivan Kavanagh,Laura Wilbanks Cruz,Michael A. Toscano"
Pantano azul (2021),"United States, Canada",1hora 57minutos,2021,"Justin Chon,"
Star Trek Sin Límites (2016),"United States, China, United Arab Emirates, Canada",2horas 2minutos,2016,"Carolina Jiménez,Douglas Plasse,Justin Lin,Misha Bukowski,Nick Satriano,Valeria Migliassi Collins"
Star Trek: En la oscuridad (2013),United States,2horas 12minutos,2013,"Dawn Gilliam,Ian Calip,J.J. Abrams"
Star Trek: El Futuro Comienza (2009),"United States, Germany",2horas 7minutos,2009,"Danny Green,Dawn Gilliam,Hal Olofsson,J.J. Abrams,Nicole Rubio,Petra Jorgensen,Tommy Gormley,Vanessa Meier"
Star Trek: Némesis (2002),United States,1hora 57minutos,2002,"Kerry Lyn McKissick,Stuart Baird"
Star Trek: Insurrección (1998),United States,1hora 43minutos,1998,"Haley McLane,Jonathan Frakes,Judi Brown"
Star Trek: Primer contacto (1996),United States,1hora 51minutos,1996,"Jonathan Frakes,Judi Brown"
Star Trek: Generaciones (1994),United States,1hora 58minutos,1994,"Arlene Fukai,Chris Soldo,Daniel Silverberg,David Carson,Judi Brown,Linda Brachman,Yudi Bennett"
Viaje a las Estrellas 6: La tierra desconocida (1991),United States,1hora 53minutos,1991,"Andrea Walzer,Christopher T. Gerrity,Douglas E. Wise,Faye Brenner,Katy Garretson,Nicholas Meyer,,Randy Suhr,Steven-Charles Jaffe"
Viaje a las Estrellas 5: La última frontera (1989),United States,1hora 47minutos,1989,"William Shatner,"
"Viaje a las Estrellas 4: Misión, salvar la tierra (1986)",United States,1hora 59minutos,1986,"Leonard Nimoy,"
Viaje a las Estrellas 3: En busca de Spock (1984),United States,1hora 45minutos,1984,"Leonard Nimoy,"
Viaje a las Estrellas 2: La ira de Khan (1982),United States,1hora 53minutos,1982,"Nicholas Meyer,"
Viaje a las Estrellas 1: La película (1979),United States,2horas 12minutos,1979,"Robert Wise,"
Cry Macho (2021),United States,1hora 44minutos,2021,"Clint Eastwood,"
Resident Evil: Capítulo final (2016),"Germany, Canada",1hora 47minutos,2016,"Ashley Aldworth,Paul W. S. Anderson,,Tamarin Kotze"
Resident Evil: La Venganza (2012),"Germany, Canada",1hora 36minutos,2012,"Daniela Saioni,Margaret Tanod,Paul W. S. Anderson,,Susan Marucci"
Resident Evil: Resurrección (2010),"Germany, Canada",1hora 37minutos,2010,"Dug Rotstein,Nadia Guglieri,Paul W. S. Anderson,"
Orígenes (2014),United States,1hora 46minutos,2014,"Dan Gloeckner,Erika Sanz Corbacho,Mike Cahill,,Willy Friedman"
Ciudad de Dios (2002),"Brazil, France, Germany",2horas 10minutos,2002,"Fernando Meirelles,Kátia Lund"
Los dos hijos de Francisco (2005),Brazil,2horas 12minutos,2005,"Breno Silveira,Calvito Leal"
Ed Wood (1994),United States,2horas 7minutos,1994,"Gregory Kent Simmons,Janna Stern,Mike Topoozian,Tim Burton"
Operación Feliz Navidad: La estafa de los duendes (2021),Mexico,1hora 17minutos,2021,"Alonso Iñiguez,"
Naruto Shippuden 4: La Torre Perdida (2010),Japan,1hora 25minutos,2010,"Masahiko Murata,"
Naruto Shippuden 3: Los Herederos De La Voluntad De Fuego (2009),Japan,1hora 35minutos,2009,"Masahiko Murata,"
Naruto Shippuden 2: Lazos (2008),Japan,1hora 30minutos,2008,"Hajime Kamegaki,"
Resident Evil: La Extinción (2007),Germany,1hora 34minutos,2007,"Israel Pasco,Russell Mulcahy,,Sue Field"
La Redada 2 (2014),"Indonesia, United States",2horas 30minutos,2014,"Dondy Adrian Senjaya,Gareth Evans,Ginanti Rona Tembang Asri,Lelly Anggraeni,Mus Danang Danar Dono,Victor Studiaminto"
Naruto Shippuden: La Película (2007),Japan,1hora 34minutos,2007,"Hajime Kamegaki,"
Mi Muerte (2020),"United States, Thailand",1hora 35minutos,2020,"Darren Lynn Bousman,Jessica Luhrssen,John Milton Branton,Montakan Ketmala"
La Redada (2012),"Indonesia, France, United States",1hora 41minutos,2012,"Abdul Rohim Miftahul Jannah,Dondy Adrian,Gareth Evans,Ginanti Rona Tembang Asri,Imam Dharmawan Santoso,Mus Danang Danar Dono"
El juego de Ender (2013),United States,1hora 54minutos,2013,"Anne Rapp,Gavin Hood"
Resident Evil: Apocalipsis (2004),"United Kingdom, Canada",1hora 34minutos,2004,"Alan Goluboff,Alexander Witt,Cameron Kuc,Carol Pears,Grant Lucibello,Liza Vespi,Pierre Henry,Spiro Razatos"
Cielo de medianoche (2020),United States,1hora 58minutos,2020,"George Clooney,James J. Reid,Lee Grumett"
David y los elfos (2021),"Poland, United States",1hora 46minutos,2021,"Michał Rogalski,"
South Park: Post Covid (2021),United States,1hora,2021,Trey Parker
Resident Evil: El Huésped Maldito (2002),"United Kingdom, Germany",1hora 41minutos,2002,"Bharat Nalluri,Caroline Sax,Jan Sebastian Ballhaus,Paul Goldsmith,Paul W. S. Anderson,,Simon Emanuel"
Doble traición (2000),United States,1hora 45minutos,2000,"Angela Allen,John Frankenheimer"
Corazones De Hierro (2014),United States,2horas 8minutos,2014,David Ayer
Amigos De Armas (2016),United States,1hora 54minutos,2016,"Steve Gehrke,Todd Phillips"
Arrástrame al infierno (2009),United States,1hora 35minutos,2009,"Rebecca Boyle,Sam Raimi"
El Maestro del Tai Chi (2013),United States,1hora 45minutos,2013,"Keanu Reeves,Yuen Woo-ping"
El último tiroteo (2021),United States,1hora 39minutos,2021,"Michael Feifer,"
Donde la verdad se esconde (2021),Thailand,2horas 5minutos,2021,"Wisit Sasanatieng,"
Atrapada en la Navidad (2021),United States,1hora 34minutos,2021,"Andy Fickman,"
"Shaun, el cordero: El vuelo antes de Navidad (2021)",United Kingdom,30minutos,2021,"Steve Cox,"
El diario de Greg (2021),"Canada, United States",58minutos,2021,"Swinton O. Scott III,"
Ron da error (2021),"United States, United Kingdom, Canada",1hora 46minutos,2021,"Jean-Philippe Vine,Octavio E. Rodriguez,Sarah Smith"
La familia Mitchell vs. las máquinas (2021),"United States, Canada, Hong Kong",1hora 54minutos,2021,"Jeff Rowe,Michael Rianda,Peter Szilagyi"
Robin Robin (2021),United Kingdom,32minutos,2021,"Daniel Ojari,Michael Please"
Aqui y ahora (2021),United States,1hora 57minutos,2021,"Billy Crystal,"
La cumbre de los dioses (2021),"Luxembourg, France",1hora 35minutos,2021,"Florent Richefeu,Laetitia Nurdin,Patrick Imbert"
La serpiente verde (2021),China,2horas 11minutos,2021,"Amp Wong,"
Zona 414 (2021),"United Kingdom, United States",1hora 38minutos,2021,"Andrew Baird,"
Pánico en casa (2021),United States,1hora 22minutos,2021,"Elizabeth Linell,Will Wernick"
Un castillo por Navidad (2021),"United Kingdom, United States",1hora 38minutos,2021,"Joel Morales,Mary Lambert"
El último duelo (2021),"United States, United Kingdom",2horas 32minutos,2021,Ridley Scott
El chico que salvó la Navidad (2021),"United Kingdom, France",1hora 46minutos,2021,"Gil Kenan,"
Bruised (Herida) (2021),"United States, United Kingdom",2horas 9minutos,2021,"Gerard DiNardi,Halle Berry,Ram Paul Silbey"
Instinto materno (2021),Canada,1hora 30minutos,2021,"Craig David Wallace,"
Koati (2021),"Mexico, United States",1hora 25minutos,2021,"Rodrigo Perez-Castro,"
7 Prisioneros (2021),Brazil,1hora 33minutos,2021,"Alexandre Moratto,"
El estallido de la noticia (2021),India,1hora 44minutos,2021,"Manohar Verma,Ram Madhvani"
El nido (2021),"Italy, Argentina",1hora 31minutos,2021,"Mattia Temponi,"
Una loca película de Esparta (2008),United States,1hora 24minutos,2008,"Aaron Seltzer,Greg Guzik,Hal Olofsson,Jason Friedberg,Jody Blose"
